Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
319,24013.85,24036.45,Flat,Up,Wrong!
320,24036.45,24041.4,Flat,Up,Wrong!
321,24041.4,24019.55,Flat,Down,Wrong!
322,24019.55,24008.1,Flat,Down,Wrong!
323,24008.1,24015.15,Flat,Up,Wrong!
324,24015.15,24016.35,Flat,Up,Wrong!
325,24016.35,24026.0,Flat,Down,Wrong!
326,24026.0,24012.1,Flat,Up,Wrong!
327,24012.1,23993.5,Flat,Up,Wrong!
328,23993.5,24003.3,Flat,Up,Wrong!
329,24003.3,24022.85,Flat,Down,Wrong!
330,24022.85,24003.1,Flat,Up,Wrong!
331,24003.1,24011.5,Flat,Flat,Correct!
332,24011.5,24022.4,Flat,Up,Wrong!
333,24022.4,24027.75,Flat,Up,Wrong!
334,24027.75,24015.55,Flat,Down,Wrong!
335,24015.55,24036.35,Flat,Up,Wrong!
336,24036.35,24035.6,Flat,Down,Wrong!
337,24035.6,24037.45,Flat,Down,Wrong!
338,24037.45,24041.7,Flat,Up,Wrong!
339,24041.7,24040.15,Flat,Up,Wrong!
340,24040.15,24056.6,Flat,Up,Wrong!
341,24056.6,24037.95,Flat,Down,Wrong!
342,24037.95,24026.05,Flat,Down,Wrong!
343,24026.05,24041.85,Flat,Up,Wrong!
344,24041.85,24046.5,Flat,Up,Wrong!
345,24046.5,24063.65,Flat,Down,Wrong!
346,24063.65,24046.2,Flat,Down,Wrong!
347,24046.2,24037.75,Flat,Down,Wrong!
348,24037.75,24040.7,Flat,Down,Wrong!
349,24040.7,24046.9,Flat,Up,Wrong!
350,24046.9,24043.9,Flat,Up,Wrong!
351,24043.9,24037.75,Flat,Down,Wrong!
352,24037.75,24009.7,Flat,Down,Wrong!
353,24009.7,24002.85,Flat,Down,Wrong!
354,24002.85,24020.05,Flat,Down,Wrong!
355,24020.05,24031.3,Flat,Down,Wrong!
356,24031.3,24015.2,Flat,Down,Wrong!
357,24015.2,23995.05,Flat,Up,Wrong!
358,23995.05,23981.95,Flat,Down,Wrong!
359,23981.95,23981.15,Flat,Up,Wrong!
360,23981.15,23969.0,Flat,Up,Wrong!
361,23969.0,23968.3,Flat,Up,Wrong!
362,23968.3,23982.95,Flat,Up,Wrong!
363,23982.95,23966.55,Flat,Down,Wrong!
364,23966.55,23970.8,Flat,Down,Wrong!
